INFO: setting server port as: 2222
INFO: Waiting for incoming connection...
Worker ID: 0 
Worker ID: [#WORKER#] 1 
[#WORKER#] 335930.073323335930.075605 Worker Thread Alive!
 Worker Thread Alive!
T0 R0:335930.073160,0.025075,335930.076389,0.000000,335930.102878
T0 R2:335930.164267,0.011004,335930.164308,0.000000,335930.175415
T1 R1:335930.122902,0.080083,335930.122946,0.000000,335930.203193
T0 R3:335930.229894,0.073100,335930.229952,0.000000,335930.303080
T1 R4:335930.240980,0.040368,335930.270090,0.000000,335930.310495
T1 R6:335930.267351,0.036016,335930.270106,0.000000,335930.346569
T0 R5:335930.249794,0.049560,335930.270103,0.000000,335930.352710
T0 R8:335930.361892,0.063168,335930.361929,0.000000,335930.425137
T1 R7:335930.279651,0.123963,335930.279765,0.000000,335930.470618
T0 R9:335930.389233,0.046693,335930.402077,0.000000,335930.471898
T1 R10:335930.393503,0.013912,335930.402083,0.000000,335930.484606
T1 R12:335930.397982,0.025620,335930.402086,0.000000,335930.510327
T1 R13:335930.402601,0.005760,335930.402636,0.000000,335930.516130
T1 R14:335930.406381,0.012311,335930.406419,0.000000,335930.528476
T0 R11:335930.393979,0.081527,335930.402084,0.000000,335930.553494
T0 R16:335930.610707,0.017551,335930.632100,0.000000,335930.649695
T1 R15:335930.591205,0.091352,335930.591255,0.000000,335930.682708
T0 R17:335930.636402,0.037147,335930.636454,0.000000,335930.686962
T0 R19:335930.682309,0.073780,335930.682766,0.000000,335930.760782
T0 R20:335930.691688,0.073465,335930.691746,0.000000,335930.834336
T1 R18:335930.663884,0.180181,335930.663939,0.000000,335930.862966
T1 R22:335930.725792,0.021729,335930.732116,0.000000,335930.884796
T0 R21:335930.711951,0.111064,335930.732103,0.000000,335930.945441
T1 R23:335930.734817,0.125682,335930.734867,0.000000,335931.010520
T1 R25:335930.781446,0.004499,335930.820055,0.000000,335931.015089
T1 R26:335930.801647,0.054417,335930.820061,0.000000,335931.069533
T1 R27:335930.807430,0.021454,335930.820073,0.000000,335931.091097
T1 R28:335930.867177,0.001011,335930.867296,0.000000,335931.092138
T0 R24:335930.779428,0.149118,335930.779490,0.000000,335931.094645
T1 R29:335930.869022,0.003259,335930.869067,0.000000,335931.095421
T1 R31:335930.892979,0.095164,335930.926070,0.000000,335931.190617
T1 R32:335930.955837,0.038800,335930.955878,0.000000,335931.229457
T0 R30:335930.885603,0.176396,335930.885642,0.000000,335931.271093
T1 R33:335930.964263,0.071408,335930.996051,0.000000,335931.300969
