INFO: setting server port as: 3000
INFO: Waiting for incoming connection...
[#WORKER#] 1695841800.903365 Worker Thread Alive!
R0:226635.810689,0.050151,226635.811632,226635.862106
R1:226636.116594,0.160167,226636.116694,226636.276932
R2:226636.371434,0.022009,226636.371478,226636.393492
[#WORKER#] 1695841801.906058 Still Alive!
R3:226636.775952,0.146201,226636.776109,226636.922319
R4:226636.844167,0.080737,226636.922489,226637.003235
R5:226636.898508,0.099121,226637.003518,226637.102643
R6:226637.006734,0.072031,226637.102775,226637.174809
R7:226637.082464,0.247926,226637.174888,226637.422818
R8:226637.589444,0.126336,226637.589511,226637.715855
R9:226637.757801,0.093387,226637.757841,226637.851230
R10:226637.783468,0.027824,226637.851312,226637.879138
R11:226637.786242,0.163054,226637.879240,226638.042298
R12:226637.810938,0.051240,226638.042399,226638.093642
R13:226637.839445,0.011520,226638.093776,226638.105298
R14:226637.862670,0.024623,226638.105370,226638.129994
[#WORKER#] 1695841803.907152 Still Alive!
R15:226639.002067,0.182705,226639.002277,226639.184992
R16:226639.122137,0.035102,226639.185136,226639.220239
R17:226639.280366,0.074294,226639.280517,226639.354822
R18:226639.449669,0.360362,226639.449722,226639.810091
R19:226639.563180,0.147560,226639.810239,226639.957804
R20:226639.620964,0.146930,226639.957955,226640.104892
R21:226639.745748,0.222128,226640.105020,226640.327151
R22:226639.831013,0.043457,226640.327226,226640.370689
R23:226639.886569,0.251363,226640.370872,226640.622241
[#WORKER#] 1695841805.908494 Still Alive!
R24:226640.161428,0.298236,226640.622466,226640.920707
R25:226640.173521,0.008999,226640.920871,226640.929870
R26:226640.298039,0.108835,226640.929906,226641.038746
R27:226640.333704,0.042908,226641.038997,226641.081909
R28:226640.702058,0.002023,226641.081994,226641.084017
R29:226640.713197,0.006517,226641.084048,226641.090568
R30:226640.815229,0.352792,226641.090658,226641.443456
R31:226640.860634,0.190327,226641.443595,226641.633929
R32:226641.248238,0.077601,226641.634110,226641.711716
R33:226641.300044,0.142815,226641.711926,226641.854744
R34:226641.378490,0.110179,226641.854868,226641.965049
R35:226641.498337,0.004007,226641.965149,226641.969161
R36:226641.624853,0.268582,226641.969222,226642.237805
R37:226641.720913,0.127637,226642.237850,226642.365489
R38:226642.166142,0.134145,226642.365580,226642.499728
R39:226642.221966,0.043703,226642.499805,226642.543510
R40:226642.392259,0.018149,226642.543559,226642.561710
R41:226642.586343,0.212089,226642.586380,226642.798474
[#WORKER#] 1695841807.908843 Still Alive!
R42:226642.683113,0.040098,226642.798573,226642.838673
